"Sex","Age","from_class","to_class","mean","q05","q95"
"F",25,"44","47",12.83857191239,6.90559383426464,13.6386094461139
"F",40,"44","47",12.83857191239,6.90559383426464,13.6386094461139
"F",60,"44","47",12.83857191239,6.90559383426464,13.6386094461139
"F",25,"47","48",2.62245477000028,1.42474393693569,2.78321640387385
"F",40,"47","48",2.62245477000028,1.42474393693569,2.78321640387385
"F",60,"47","48",2.62245477000028,1.42474393693569,2.78321640387385
"F",25,"48","52",14.9637884267251,8.22931550855887,15.8629348549668
"F",40,"48","52",14.9637884267251,8.22931550855887,15.8629348549668
"F",60,"48","52",14.9637884267251,8.22931550855887,15.8629348549668
"F",25,"52","56",13.412361317618,7.53025917744296,14.1891670874821
"F",40,"52","56",13.412361317618,7.53025917744296,14.1891670874821
"F",60,"52","56",13.412361317618,7.53025917744296,14.1891670874821
"F",25,"56","57",4.3856641106559,2.49599951283152,4.63300793404934
"F",40,"56","57",4.3856641106559,2.49599951283152,4.63300793404934
"F",60,"56","57",4.3856641106559,2.49599951283152,4.63300793404929
"F",25,"57","60",9.39243489116213,5.40456044190923,9.91185991937059
"F",40,"57","60",9.39243489116213,5.40456044190923,9.91185991937059
"F",60,"57","60",9.39243489116213,5.40456044190923,9.91185991937059
"F",25,"60","63",9.69401706534628,5.66689470754448,10.2143028515583
"F",40,"60","63",9.69401706534626,5.66689470754448,10.2143028515583
"F",60,"60","63",9.69401706534628,5.66689470754448,10.2143028515583
"F",25,"63","65",6.28124974106918,3.72288223867834,6.61006602528677
"F",40,"63","65",6.28124974106918,3.72288223867834,6.61006602528677
"F",60,"63","65",6.28124974106918,3.72288223867839,6.61006602528677
"F",25,"65","67.5",6.64853837988063,3.98662571185531,6.98857601293286
"F",40,"65","67.5",6.64853837988063,3.98662571185531,6.98857601293286
"F",60,"65","67.5",6.64853837988063,3.98662571185526,6.98857601293286
"F",25,"67.5","69",6.31942019694436,3.83521665755616,6.63407907705964
