"model","method","mae","coverage90","mean_interval90"
"Baseline","HMC",75.1621072333333,0.906666666666667,318.239061712833
"Baseline","Mean-field VI",440.018513845617,0.99,1502.0702188
"Baseline","Full-rank VI",441.312585499703,0.993333333333333,1608.50776097333
"Main","HMC",71.474874315,0.9,296.54124781925
"Main","Mean-field VI",365.091341038333,0.973333333333333,1289.29395355317
"Main","Full-rank VI",382.595153240533,0.97,1319.47747815
