"candidate","prop_negative","p01","p05","median","p95","p99"
"Direct Gaussian, linear mean",0.0064,33.8468926257139,183.675710776589,485.111810959142,782.459269337404,914.311072406697
"Direct Gaussian, nonlinear mean",0.0092,14.0975592205921,171.403573886274,486.082487200067,798.828896308841,981.91549192826
"Direct Student-t, nonlinear mean",0.013,-20.3717293184802,165.045015182236,484.97190430986,800.291983414311,980.367590310409
"Observed data",0,179.975,242.5,489.715,745,837.525
